Day,covid: (Worldwide)
2020-03-01,5
2020-03-02,7
2020-03-03,7
2020-03-04,8
2020-03-05,9
2020-03-06,11
2020-03-07,11
2020-03-08,12
2020-03-09,17
2020-03-10,20
2020-03-11,27
2020-03-12,42
2020-03-13,48
2020-03-14,49
2020-03-15,56
2020-03-16,71
2020-03-17,76
2020-03-18,78
2020-03-19,80
2020-03-20,83
2020-03-21,85
2020-03-22,93
2020-03-23,99
2020-03-24,95
2020-03-25,97
2020-03-26,95
2020-03-27,98
2020-03-28,100
2020-03-29,95
2020-03-30,94
2020-03-31,92
2020-04-01,93
2020-04-02,91
2020-04-03,91
2020-04-04,91
2020-04-05,87
2020-04-06,93
2020-04-07,84
2020-04-08,85
2020-04-09,80
2020-04-10,78
2020-04-11,76
2020-04-12,70
2020-04-13,79
2020-04-14,78
2020-04-15,79
2020-04-16,79
2020-04-17,79
2020-04-18,72
2020-04-19,71
2020-04-20,73
2020-04-21,71
2020-04-22,72
2020-04-23,70
2020-04-24,68
2020-04-25,63
2020-04-26,65
2020-04-27,72
2020-04-28,71
2020-04-29,69
2020-04-30,66
2020-05-01,66
2020-05-02,63
2020-05-03,65
2020-05-04,68
2020-05-05,66
2020-05-06,66
2020-05-07,64
2020-05-08,64
2020-05-09,61
2020-05-10,60
2020-05-11,68
2020-05-12,63
2020-05-13,64
2020-05-14,63
2020-05-15,60
2020-05-16,57
2020-05-17,59
2020-05-18,62
2020-05-19,61
2020-05-20,61
2020-05-21,62
2020-05-22,56
2020-05-23,51
2020-05-24,52
2020-05-25,56
2020-05-26,58
2020-05-27,57
2020-05-28,56
2020-05-29,53
2020-05-30,48
2020-05-31,47
2020-06-01,51
2020-06-02,51
2020-06-03,49
2020-06-04,49
2020-06-05,49
2020-06-06,46
2020-06-07,47
2020-06-08,52
2020-06-09,49
2020-06-10,51
2020-06-11,51
2020-06-12,50
2020-06-13,47
2020-06-14,46
2020-06-15,52
2020-06-16,53
2020-06-17,53
2020-06-18,52
2020-06-19,53
2020-06-20,52
2020-06-21,48
2020-06-22,57
2020-06-23,58
2020-06-24,59
2020-06-25,61
2020-06-26,61
2020-06-27,57
2020-06-28,57
2020-06-29,64
2020-06-30,65
2020-07-01,61
2020-07-02,62
2020-07-03,58
2020-07-04,53
2020-07-05,54
2020-07-06,63
2020-07-07,65
2020-07-08,64
2020-07-09,61
2020-07-10,61
2020-07-11,57
2020-07-12,60
2020-07-13,69
2020-07-14,68
2020-07-15,67
2020-07-16,66
2020-07-17,67
2020-07-18,58
2020-07-19,58
2020-07-20,67
2020-07-21,63
2020-07-22,63
2020-07-23,61
2020-07-24,60
2020-07-25,56
2020-07-26,55
2020-07-27,65
2020-07-28,67
2020-07-29,65
2020-07-30,65
2020-07-31,63
2020-08-01,57
2020-08-02,58
2020-08-03,62
2020-08-04,60
2020-08-05,64
2020-08-06,58
2020-08-07,58
2020-08-08,50
2020-08-09,52
2020-08-10,56
2020-08-11,60
2020-08-12,57
2020-08-13,56
2020-08-14,55
2020-08-15,50
2020-08-16,51
2020-08-17,56
2020-08-18,53
2020-08-19,53
2020-08-20,52
2020-08-21,51
2020-08-22,47
2020-08-23,46
2020-08-24,53
2020-08-25,52
2020-08-26,49
2020-08-27,51
2020-08-28,50
2020-08-29,46
2020-08-30,46
2020-08-31,53
2020-09-01,50
2020-09-02,51
2020-09-03,51
2020-09-04,49
2020-09-05,43
